tag,feature,median_AP,is_interaction
boltz1,boltz1_ipSAE_avg*input_dSAP_dSASA_ratio,0.32186381748402204,True
boltz1,boltz1_ipSAE_avg*boltz1_dSAP_dSASA_ratio,0.3400029138307039,True
boltz1,boltz1_ipSAE_d0dom*input_rosetta_interface_sc,0.3938653451811347,True
boltz1,boltz1_ipSAE_min*input_rosetta_interface_dG_SASA_ratio,0.3497535561885883,True
boltz1,boltz1_ipSAE_d0chn*input_rosetta_interface_sc,0.3990601503759399,True
boltz1,boltz1_rosetta_interface_dG_SASA_ratio*boltz1_pDockQ2_max,0.35805429016575574,True
boltz1,boltz1_ipSAE_min*boltz1_ipSAE_max,0.40419601056494703,True
boltz1,boltz1_sap_delta*boltz1_ipSAE_avg,0.32771540727223153,True
boltz1,boltz1_ipSAE_min*input_dSAP_dSASA_ratio,0.3266294461740382,True
boltz1,boltz1_ipSAE_avg*input_rosetta_interface_dG,0.3653769841269841,True
boltz1,boltz1_sap_delta*boltz1_LIS,0.3047802476061757,True
boltz1,boltz1_rosetta_interface_dG_SASA_ratio*boltz1_pDockQ2_min,0.3573674474012679,True
boltz1,boltz1_ipSAE_avg*input_pymol_percent_nonpolar,0.3104257424703345,True
boltz1,boltz1_LIS*input_rosetta_interface_packstat,0.36093413397413676,True
boltz1,boltz1_ipSAE_min*input_sap_delta,0.33845191596779944,True
boltz1,boltz1_rosetta_interface_dG_SASA_ratio*boltz1_ipSAE_d0dom,0.3880710765170976,True
boltz1,boltz1_ipSAE_min*boltz1_LIS,0.36722080428039944,True
boltz1,boltz1_iptm_avg*boltz1_ipSAE_min,0.3975468531388667,True
boltz1,boltz1_iptm_model_0*boltz1_ipSAE_min,0.3992451745880264,True
boltz1,boltz1_rosetta_interface_sc*boltz1_ipSAE_max,0.3546735265014232,True
boltz1,boltz1_ipSAE_max*boltz1_ipSAE_d0dom,0.39111923110178487,True
boltz1,boltz1_ipSAE_max*boltz1_ipSAE_d0chn,0.39013903460198773,True
boltz1,boltz1_rosetta_interface_dG_SASA_ratio*boltz1_ipSAE_d0chn,0.38755383513778724,True
